target,zero_shot_f1_macro,few_shot_k20_f1_macro,supervised_f1_macro,absolute_gap_zs_to_sup,transfer_ratio_zs_over_sup,few_shot_recovers_pct_of_gap
twi,0.375106198867212,0.37951845717011984,0.4135297885970532,0.03842358972984117,0.9070838648403116,11.483201683993338
pcm,0.5844525900762515,0.5927628501691071,0.660784668014902,0.07633207793865049,0.8844826739579723,10.88698266479099
