target,n,subset_label,encoder_f1_macro,encoder_accuracy,encoder_balanced_accuracy,encoder_mcc,encoder_precision_macro,encoder_recall_macro,encoder_pred_majority_frac,encoder_num_pred_classes_used,llm_f1_macro,llm_accuracy,llm_balanced_accuracy,llm_mcc,llm_precision_macro,llm_recall_macro,llm_pred_majority_frac,llm_num_pred_classes_used
twi,200,"twi (sampled test, n=200)",0.44376360960062283,0.585,0.5065835065835066,0.20443387946327013,0.4439455407197343,0.5065835065835066,0.585,3.0,0.3358548532011709,0.4,0.4338184338184338,0.1473987574388124,0.4072222222222222,0.4338184338184338,0.5,3.0
pcm,200,"pcm (sampled test, n=200)",0.5560300796781443,0.595,0.5908016333548248,0.3523547818883809,0.5570643881599023,0.5908016333548248,0.565,3.0,0.591913512228848,0.635,0.6809968990820053,0.4684873408970031,0.6211664152840624,0.6809968990820053,0.595,3.0
