epoch,eval_accuracy,eval_balanced_accuracy,eval_f1,eval_f1_Abuse,eval_f1_Hate,eval_f1_Normal,eval_f1_macro,eval_f1_weighted,eval_loss,eval_mcc,eval_num_pred_classes_used,eval_precision_macro,eval_precision_weighted,eval_pred_majority_frac,eval_recall_macro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.3956043956043956,,,,,,,,,,,,,,,,,,,,7.679652690887451,1.918604651162791e-05,1.3216065300835504,54,,,,,
0.7912087912087912,,,,,,,,,,,,,,,,,,,,4.8144121170043945,1.7093023255813955e-05,0.8402543244538484,108,,,,,
1.0,0.8961038961038961,0.3333333333333333,0.3150684931506849,0.9452054794520548,0.0,0.0,0.3150684931506849,0.8470023127557375,0.37263908982276917,0.0,1.0,0.2987012987012987,0.8030021926125822,1.0,0.3333333333333333,0.8961038961038961,3.1231,123.275,8.005,,,,137,,,,,
1.1831501831501832,,,,,,,,,,,,,,,,,,,,3.9418375492095947,1.5000000000000002e-05,0.7563831188060619,162,,,,,
1.578754578754579,,,,,,,,,,,,,,,,,,,,10.72006893157959,1.2906976744186049e-05,0.7449684143066406,216,,,,,
1.9743589743589745,,,,,,,,,,,,,,,,,,,,9.087495803833008,1.0813953488372094e-05,0.5927770402696397,270,,,,,
2.0,0.9090909090909091,0.40210803689064556,0.4221809553285876,0.9554317548746518,0.3111111111111111,0.0,0.4221809553285876,0.8828327846712248,0.2951757311820984,0.3576737846156877,2.0,0.5009681263032469,0.8740311966853521,0.9688311688311688,0.40210803689064556,0.9090909090909091,2.6892,143.164,9.296,,,,274,,,,,
2.3663003663003663,,,,,,,,,,,,,,,,,,,,5.713886260986328,8.72093023255814e-06,0.5256069324634693,324,,,,,
2.761904761904762,,,,,,,,,,,,,,,,,,,,16.688419342041016,6.627906976744186e-06,0.567933718363444,378,,,,,
3.0,0.922077922077922,0.4800175669740887,0.4964961980020874,0.9631728045325779,0.5263157894736842,0.0,0.4964961980020874,0.9082156847178466,0.2774491608142853,0.5141654885361305,2.0,0.5222760849492151,0.8975473972011367,0.9376623376623376,0.4800175669740887,0.922077922077922,2.6642,144.51,9.384,,,,411,,,,,
3.1538461538461537,,,,,,,,,,,,,,,,,,,,18.551681518554688,4.5348837209302326e-06,0.49593183729383683,432,,,,,
3.5494505494505493,,,,,,,,,,,,,,,,,,,,9.64434814453125,2.4418604651162793e-06,0.3873127124927662,486,,,,,
3.9450549450549453,,,,,,,,,,,,,,,,,,,,3.202781915664673,3.488372093023256e-07,0.4244972511574074,540,,,,,
4.0,0.9246753246753247,0.4901185770750988,0.5054210483410776,0.9645390070921985,0.5517241379310345,0.0,0.5054210483410776,0.9116178025935913,0.271001398563385,0.5354889727737684,2.0,0.5281481481481481,0.9011774891774892,0.935064935064935,0.4901185770750988,0.9246753246753247,2.8364,135.736,8.814,,,,548,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,548,573324137229312.0,0.6649547850128508,281.6325,30.948,1.946
