epoch,eval_accuracy,eval_balanced_accuracy,eval_f1,eval_f1_Abuse,eval_f1_Hate,eval_f1_Normal,eval_f1_macro,eval_f1_weighted,eval_loss,eval_mcc,eval_num_pred_classes_used,eval_precision_macro,eval_precision_weighted,eval_pred_majority_frac,eval_recall_macro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.39847715736040606,,,,,,,,,,,,,,,,,,,,17.38996696472168,1.9163292847503377e-05,1.6878191711037023,157,,,,,
0.7969543147208121,,,,,,,,,,,,,,,,,,,,11.575105667114258,1.7044534412955466e-05,1.482739005119178,314,,,,,
1.0,0.6720575022461814,0.6272872675613509,0.6293673666090122,0.7054009819967266,0.5098039215686274,0.6728971962616822,0.6293673666090122,0.6707889447723162,0.6784253716468811,0.4433686889856104,3.0,0.6501518265107898,0.6928519405900813,0.6037735849056604,0.6272872675613509,0.6720575022461814,7.5486,147.445,9.273,,,,394,,,,,
1.1954314720812182,,,,,,,,,,,,,,,,,,,,19.89226722717285,1.492577597840756e-05,1.3264738435198546,471,,,,,
1.5939086294416245,,,,,,,,,,,,,,,,,,,,14.958452224731445,1.280701754385965e-05,1.2728763264455614,628,,,,,
1.9923857868020305,,,,,,,,,,,,,,,,,,,,18.608112335205078,1.0688259109311743e-05,1.2733591650701632,785,,,,,
2.0,0.6945193171608266,0.6882550540306438,0.6629852096788396,0.6902325581395349,0.5466666666666666,0.7520564042303173,0.6629852096788396,0.6986229425880683,0.6413370370864868,0.4951099212421895,3.0,0.6497582622339904,0.7074665478219243,0.4716981132075472,0.6882550540306438,0.6945193171608266,7.5093,148.217,9.322,,,,788,,,,,
2.3908629441624365,,,,,,,,,,,,,,,,,,,,20.636465072631836,8.569500674763834e-06,1.140315547870223,942,,,,,
2.7893401015228427,,,,,,,,,,,,,,,,,,,,21.04449462890625,6.450742240215925e-06,1.087370271136047,1099,,,,,
3.0,0.7142857142857143,0.6555387143534693,0.6677315907720534,0.7195013357079252,0.5291479820627802,0.7545454545454545,0.6677315907720534,0.7121163872062876,0.636358380317688,0.5073488763914644,3.0,0.6846183817014033,0.7117492507441038,0.5148247978436657,0.6555387143534693,0.7142857142857143,7.5145,148.113,9.315,,,,1182,,,,,
3.187817258883249,,,,,,,,,,,,,,,,,,,,20.381038665771484,4.3319838056680166e-06,1.0037703787445262,1256,,,,,
3.5862944162436547,,,,,,,,,,,,,,,,,,,,34.60976028442383,2.213225371120108e-06,0.9502831720242835,1413,,,,,
3.984771573604061,,,,,,,,,,,,,,,,,,,,29.32895278930664,9.446693657219974e-08,0.9303560682163117,1570,,,,,
4.0,0.7035040431266847,0.67919117696177,0.6699661123364007,0.7005545286506469,0.5584905660377358,0.7508532423208191,0.6699661123364007,0.7045663920263923,0.6806726455688477,0.5008744499444291,3.0,0.6624095700243516,0.7063354199955739,0.4779874213836478,0.67919117696177,0.7035040431266847,7.5337,147.736,9.292,,,,1576,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,1576,1658403871939584.0,1.214225910944382,774.969,32.533,2.034
